MODULE_NAME: /bin/dash
MODULE_START: 0x7f9876f62000
+B+: 0x7f9876f6dc78 0x7f9876f6dc87
+B+: 0x7f9876f6dc88 0x7f9876f6dc89
+B+: 0x7f9876f6dca0 0x7f9876f6dcaf
+B+: 0x7f9876f6dcba 0x7f9876f6dcc4
+B+: 0x7f9876f6dce0 0x7f9876f6dce8
+B+: 0x7f9876f6e360 0x7f9876f6e36b
+B+: 0x7f9876f6e480 0x7f9876f6e480
+B+: 0x7f9876f6e9c0 0x7f9876f6e9db
+B+: 0x7f9876f6ea16 0x7f9876f6ea32
+B+: 0x7f9876f6ea33 0x7f9876f6ea52
+B+: 0x7f9876f6ea63 0x7f9876f6ea6a
+B+: 0x7f9876f6ea90 0x7f9876f6eaa6
+B+: 0x7f9876f6eaa7 0x7f9876f6eaae
+B+: 0x7f9876f6eaaf 0x7f9876f6eab6
+B+: 0x7f9876f6eaf6 0x7f9876f6eb01
+B+: 0x7f9876f6eb0c 0x7f9876f6eb34
+B+: 0x7f9876f6eb40 0x7f9876f6eb57
+B+: 0x7f9876f6eb58 0x7f9876f6eb5f
+B+: 0x7f9876f6eb60 0x7f9876f6eb67
+B+: 0x7f9876f6eb68 0x7f9876f6eb70
+B+: 0x7f9876f6eb71 0x7f9876f6eb7a
+B+: 0x7f9876f6eb7b 0x7f9876f6eb80
+B+: 0x7f9876f6eb97 0x7f9876f6eb9c
+B+: 0x7f9876f6ec0a 0x7f9876f6ec3d
+B+: 0x7f9876f6ec47 0x7f9876f6ec53
+B+: 0x7f9876f6eed0 0x7f9876f6eede
+B+: 0x7f9876f6eedf 0x7f9876f6eee7
+B+: 0x7f9876f6eee8 0x7f9876f6eefc
+B+: 0x7f9876f6eefd 0x7f9876f6ef02
+B+: 0x7f9876f6ef03 0x7f9876f6ef1b
+B+: 0x7f9876f6ef1c 0x7f9876f6ef21
+B+: 0x7f9876f6ef22 0x7f9876f6ef2b
+B+: 0x7f9876f6efc0 0x7f9876f6efc7
+B+: 0x7f9876f6efc8 0x7f9876f6efd0
+B+: 0x7f9876f6f760 0x7f9876f6f768
+B+: 0x7f9876f6f769 0x7f9876f6f76d
+B+: 0x7f9876f6f76e 0x7f9876f6f772
+B+: 0x7f9876f6f780 0x7f9876f6f788
+B+: 0x7f9876f6f789 0x7f9876f6f78d
