MODULE_NAME: /bin/dash
MODULE_START: 0x7f5bb08d5000
+B+: 0x7f5bb08e3c49 0x7f5bb08e3c55
+B+: 0x7f5bb08e3c56 0x7f5bb08e3c67
+B+: 0x7f5bb08e3c82 0x7f5bb08e3c93
+B+: 0x7f5bb08e3d77 0x7f5bb08e3d82
+B+: 0x7f5bb08e3da0 0x7f5bb08e3db2
+B+: 0x7f5bb08e3db3 0x7f5bb08e3ddf
+B+: 0x7f5bb08e3de0 0x7f5bb08e3deb
+B+: 0x7f5bb08e3dec 0x7f5bb08e3dfc
+B+: 0x7f5bb08e3dfd 0x7f5bb08e3e18
+B+: 0x7f5bb08e3e19 0x7f5bb08e3e25
+B+: 0x7f5bb08e3e26 0x7f5bb08e3e2e
+B+: 0x7f5bb08e3e2f 0x7f5bb08e3e3f
+B+: 0x7f5bb08e3e40 0x7f5bb08e3e44
+B+: 0x7f5bb08e3e45 0x7f5bb08e3e50
+B+: 0x7f5bb08e3e51 0x7f5bb08e3e5d
+B+: 0x7f5bb08e3e5e 0x7f5bb08e3e77
+B+: 0x7f5bb08e3ece 0x7f5bb08e3ed2
+B+: 0x7f5bb08e3ed3 0x7f5bb08e3ede
+B+: 0x7f5bb08e3ee0 0x7f5bb08e3eec
+B+: 0x7f5bb08e3f60 0x7f5bb08e3f7c
+B+: 0x7f5bb08e4120 0x7f5bb08e4128
+B+: 0x7f5bb08e4129 0x7f5bb08e4147
+B+: 0x7f5bb08e4750 0x7f5bb08e475e
+B+: 0x7f5bb08e475f 0x7f5bb08e4763
+B+: 0x7f5bb08e4764 0x7f5bb08e4770
+B+: 0x7f5bb08e4771 0x7f5bb08e4777
+B+: 0x7f5bb08e4778 0x7f5bb08e4783
+B+: 0x7f5bb08e4784 0x7f5bb08e4788
+B+: 0x7f5bb08e4789 0x7f5bb08e478d
+B+: 0x7f5bb08e478e 0x7f5bb08e4796
+B+: 0x7f5bb08e4797 0x7f5bb08e479e
+B+: 0x7f5bb08e4890 0x7f5bb08e4892
