MODULE_NAME: /bin/dash
MODULE_START: 0x7f7848104000
+B+: 0x7f784811469b 0x7f78481146a2
+B+: 0x7f78481146a3 0x7f78481146b7
+B+: 0x7f7848114790 0x7f78481147bc
+B+: 0x7f78481147bd 0x7f78481147d4
+B+: 0x7f78481147e0 0x7f784811483a
+B+: 0x7f784811483b 0x7f7848114875
+B+: 0x7f7848114876 0x7f7848114893
+B+: 0x7f7848114894 0x7f78481148a3
+B+: 0x7f78481148a4 0x7f78481148b0
+B+: 0x7f78481149b4 0x7f78481149b8
+B+: 0x7f78481149b9 0x7f78481149cf
+B+: 0x7f78481149d0 0x7f78481149dc
+B+: 0x7f78481149dd 0x7f78481149ef
+B+: 0x7f78481149f0 0x7f78481149f7
+B+: 0x7f7848114a01 0x7f7848114a16
+B+: 0x7f7848114a28 0x7f7848114a3d
+B+: 0x7f7848114a3e 0x7f7848114a4d
+B+: 0x7f7848114a79 0x7f7848114a97
+B+: 0x7f7848114a98 0x7f7848114ac0
+B+: 0x7f7848114ac1 0x7f7848114acf
+B+: 0x7f7848115148 0x7f7848115154
+B+: 0x7f7848115155 0x7f7848115174
+B+: 0x7f7848115175 0x7f784811517f
+B+: 0x7f78481151ac 0x7f78481151b0
+B+: 0x7f78481151b1 0x7f78481151b5
+B+: 0x7f7848115a40 0x7f7848115a64
+B+: 0x7f7848115b10 0x7f7848115b1a
+B+: 0x7f7848115b40 0x7f7848115b47
+B+: 0x7f7848115b48 0x7f7848115b51
+B+: 0x7f7848115b58 0x7f7848115b60
+B+: 0x7f7848115b61 0x7f7848115b6a
