MODULE_NAME: /bin/dash
MODULE_START: 0x7f3b94f5b000
+B+: 0x7f3b94f689e9 0x7f3b94f68a14
+B+: 0x7f3b94f68a1e 0x7f3b94f68a25
+B+: 0x7f3b94f68a26 0x7f3b94f68a33
+B+: 0x7f3b94f68a34 0x7f3b94f68a46
+B+: 0x7f3b94f68ae0 0x7f3b94f68afe
+B+: 0x7f3b94f68aff 0x7f3b94f68b0c
+B+: 0x7f3b94f68b0d 0x7f3b94f68b1b
+B+: 0x7f3b94f68b1c 0x7f3b94f68b2c
+B+: 0x7f3b94f68b40 0x7f3b94f68b62
+B+: 0x7f3b94f68b98 0x7f3b94f68ba9
+B+: 0x7f3b94f696d0 0x7f3b94f696f4
+B+: 0x7f3b94f696f5 0x7f3b94f6970d
+B+: 0x7f3b94f6970e 0x7f3b94f69712
+B+: 0x7f3b94f69713 0x7f3b94f6971e
+B+: 0x7f3b94f6971f 0x7f3b94f69723
+B+: 0x7f3b94f69724 0x7f3b94f69728
+B+: 0x7f3b94f69729 0x7f3b94f69730
+B+: 0x7f3b94f6973c 0x7f3b94f69749
+B+: 0x7f3b94f6974a 0x7f3b94f6974d
+B+: 0x7f3b94f6974e 0x7f3b94f69760
+B+: 0x7f3b94f69761 0x7f3b94f6976b
+B+: 0x7f3b94f69790 0x7f3b94f6979d
+B+: 0x7f3b94f6979e 0x7f3b94f697a5
+B+: 0x7f3b94f697a6 0x7f3b94f697a7
+B+: 0x7f3b94f69890 0x7f3b94f6989d
+B+: 0x7f3b94f6989e 0x7f3b94f698a9
+B+: 0x7f3b94f698aa 0x7f3b94f698bd
+B+: 0x7f3b94f698c0 0x7f3b94f698ca
+B+: 0x7f3b94f698d0 0x7f3b94f698ef
+B+: 0x7f3b94f698f0 0x7f3b94f698f4
+B+: 0x7f3b94f698f5 0x7f3b94f6990c
+B+: 0x7f3b94f6990d 0x7f3b94f69910
+B+: 0x7f3b94f69911 0x7f3b94f69912
+B+: 0x7f3b94f69913 0x7f3b94f6991b
+B+: 0x7f3b94f6991c 0x7f3b94f69930
+B+: 0x7f3b94f69938 0x7f3b94f6993c
+B+: 0x7f3b94f69980 0x7f3b94f6998f
+B+: 0x7f3b94f69990 0x7f3b94f6999b
+B+: 0x7f3b94f6999c 0x7f3b94f699ab
+B+: 0x7f3b94f69a80 0x7f3b94f69a93
+B+: 0x7f3b94f69a94 0x7f3b94f69aac
+B+: 0x7f3b94f69aad 0x7f3b94f69abf
+B+: 0x7f3b94f69ac0 0x7f3b94f69ada
+B+: 0x7f3b94f69adb 0x7f3b94f69ae3
+B+: 0x7f3b94f69aec 0x7f3b94f69af8
